,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Male,Delta 15 N (o/oo),Delta 13 C (o/oo),Island_Biscoe,Island_Dream,Island_Torgersen
106,1,393,45.5,15.0,220.0,5000.0,1,8.63604,-26.7489,1,0,0
104,1,753,37.2,18.1,178.0,3900.0,1,9.72764,-25.0102,0,1,0
69,1,390,35.5,16.2,195.0,3350.0,0,8.56192,-25.95541,1,0,0
1,1,741,45.2,17.8,198.0,3950.0,0,8.88942,-24.49433,0,1,0
278,1,13,47.2,15.5,215.0,4975.0,0,8.30817,-26.21651,1,0,0
270,1,746,36.5,18.0,182.0,3150.0,0,9.68933,-24.4228,0,1,0
143,1,750,38.2,18.1,185.0,3950.0,1,8.43423,-25.22664,1,0,0
307,1,11,43.4,14.4,218.0,4600.0,0,8.23468,-26.18599,1,0,0
194,1,16,38.2,20.0,190.0,3900.0,1,9.59245,-25.70711,1,0,0
257,1,750,40.5,17.9,187.0,3200.0,0,8.08138,-25.49448,1,0,0
6,1,13,51.1,16.5,225.0,5250.0,1,8.2066,-26.36863,1,0,0
238,1,372,49.0,19.5,210.0,3950.0,1,9.53262,-24.66867,0,1,0
16,1,19,38.1,16.5,198.0,3825.0,0,8.43951,-26.57563,1,0,0
17,1,744,47.6,14.5,215.0,5400.0,1,8.2345,-25.54456,1,0,0
159,1,9,48.5,15.0,219.0,4850.0,0,8.10231,-26.18763,1,0,0
327,1,394,44.4,17.3,219.0,5250.0,1,8.13746,-26.79093,1,0,0
260,1,734,46.6,17.8,193.0,3800.0,0,8.95063,-24.59897,0,1,0
255,1,8,51.5,18.7,187.0,3250.0,1,9.6895,-24.43062,0,1,0
81,1,4,43.5,15.2,213.0,4650.0,0,8.21634,-26.11046,1,0,0
217,1,379,40.8,18.9,208.0,4300.0,1,8.48204,-26.57941,0,1,0
336,0,14,37.7,19.8,198.0,3500.0,1,9.11066,-26.42563,0,0,1
227,1,750,40.6,18.6,183.0,3550.0,1,8.93997,-25.36288,1,0,0
252,1,392,45.8,14.2,219.0,4700.0,0,8.60447,-26.61601,1,0,0
325,0,372,53.5,19.9,205.0,4500.0,1,10.02544,-24.90816,0,1,0
62,1,0,46.8,16.1,215.0,5500.0,1,8.32359,-26.05756,1,0,0
206,1,382,33.5,19.0,190.0,3600.0,0,7.88863,-26.63085,0,0,1
191,0,752,40.5,18.9,180.0,3950.0,1,8.90027,-25.11609,1,0,0
231,1,746,36.7,19.3,193.0,3450.0,0,8.76651,-25.32426,0,0,1
28,1,14,36.0,17.8,195.0,3450.0,0,8.94332,-25.79189,0,1,0
119,1,753,39.5,16.7,178.0,3250.0,0,9.69756,-25.11223,0,1,0
118,1,391,39.6,18.1,186.0,4450.0,1,8.49915,-26.42406,0,1,0
269,1,741,52.7,19.8,197.0,3725.0,1,9.00642,-24.61867,0,1,0
2,1,744,46.5,13.5,210.0,4550.0,0,7.9953,-25.32829,1,0,0
265,1,13,39.0,17.1,191.0,3050.0,0,9.19031,-25.73722,0,0,1
85,0,743,46.5,17.9,192.0,3500.0,0,9.03935,-24.30229,0,1,0
289,1,16,39.7,18.9,184.0,3550.0,1,8.85699,-25.80208,1,0,0
11,1,16,37.9,18.6,193.0,2925.0,0,9.02642,-25.86482,1,0,0
155,1,734,51.7,20.3,194.0,3775.0,1,8.68747,-24.38751,0,1,0
205,1,371,49.7,18.6,195.0,3600.0,1,9.75486,-24.31198,0,1,0
13,1,382,35.7,18.0,202.0,3550.0,0,8.46531,-26.05621,0,1,0
234,1,390,46.4,15.0,216.0,4700.0,0,8.47938,-26.9547,1,0,0
51,1,735,50.2,14.3,218.0,5700.0,1,7.8962,-25.37746,1,0,0
8,1,14,39.6,20.7,191.0,3900.0,0,8.80967,-26.78958,1,0,0
317,1,381,36.5,16.6,181.0,2850.0,0,9.07878,-25.88156,1,0,0
197,1,21,37.5,18.5,199.0,4475.0,1,8.56708,-26.49288,0,1,0
54,1,387,41.4,18.6,191.0,3700.0,1,8.35396,-26.27853,1,0,0
3,1,10,45.2,16.6,191.0,3250.0,0,9.62357,-24.78984,0,1,0
312,0,734,43.2,16.6,187.0,2900.0,0,9.35416,-25.01185,0,1,0
26,1,11,43.2,19.0,197.0,4775.0,1,9.31735,-25.45171,1,0,0
186,1,393,43.6,13.9,217.0,4900.0,0,8.27141,-26.7765,1,0,0
342,1,392,46.6,14.2,210.0,4850.0,0,8.38289,-26.86352,1,0,0
98,1,394,42.6,13.7,213.0,4950.0,0,7.96935,-26.70968,1,0,0
319,1,729,49.3,15.7,217.0,5850.0,1,8.07137,-25.52473,1,0,0
0,1,382,50.9,19.1,196.0,3550.0,1,10.02372,-24.86594,0,1,0
169,1,733,50.0,15.3,220.0,5550.0,1,8.30515,-25.19017,1,0,0
39,1,10,50.2,18.8,202.0,3800.0,1,9.74492,-24.404,0,1,0
66,1,385,45.8,18.9,197.0,4150.0,1,8.18658,-26.45978,0,0,1
111,1,381,37.6,19.1,194.0,3750.0,1,9.108,-25.89677,1,0,0
175,1,6,52.2,17.1,228.0,5400.0,1,8.36701,-25.89834,1,0,0
167,0,734,52.0,19.0,197.0,4150.0,1,9.36799,-24.47142,0,1,0
76,1,387,36.2,16.1,187.0,3550.0,0,7.82381,-26.51382,0,0,1
168,1,16,39.7,17.7,193.0,3200.0,0,9.02657,-26.06203,1,0,0
35,1,9,35.7,17.0,189.0,3350.0,0,8.96436,-23.90309,0,0,1
88,1,735,46.2,14.5,209.0,4800.0,0,7.84057,-25.37899,1,0,0
127,1,735,46.5,14.5,213.0,4400.0,0,7.90436,-25.3947,1,0,0
72,1,17,40.2,17.1,193.0,3400.0,0,9.2881,-25.54976,0,1,0
101,1,746,34.4,18.4,184.0,3325.0,0,8.47827,-25.23319,0,0,1
297,1,382,41.1,18.1,205.0,4300.0,1,8.77018,-25.83352,0,1,0
149,1,736,45.4,18.7,188.0,3525.0,0,8.64701,-24.62717,0,1,0
109,1,10,38.8,17.6,191.0,3275.0,0,8.88098,-25.89741,0,0,1
271,1,4,50.8,15.7,226.0,5200.0,1,8.27102,-26.11244,1,0,0
308,1,6,46.2,14.1,217.0,4375.0,0,8.30231,-25.96013,1,0,0
141,1,372,40.9,16.6,187.0,3200.0,0,9.08458,-24.54903,0,1,0
132,1,383,54.3,15.7,231.0,5650.0,1,8.49662,-26.84166,1,0,0
259,0,735,40.9,13.7,214.0,4650.0,0,8.19579,-25.3933,1,0,0
315,1,371,47.5,16.8,199.0,3900.0,0,9.07825,-25.1455,0,1,0
177,1,4,49.0,19.6,212.0,4300.0,1,9.34089,-24.45189,0,1,0
247,1,383,41.3,21.1,195.0,4400.0,1,8.74802,-26.37809,1,0,0
204,1,379,41.3,20.3,194.0,3550.0,1,9.14863,-26.09635,0,1,0
30,1,381,40.6,18.8,193.0,3800.0,1,8.56674,-25.98843,1,0,0
240,1,10,50.8,19.0,210.0,4100.0,1,9.98044,-24.68741,0,1,0
