,Species,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Male,Delta 15 N (o/oo),Delta 13 C (o/oo),Island_Biscoe,Island_Dream,Island_Torgersen
0,0,1,382,50.9,19.1,196.0,3550.0,1,10.02372,-24.86594,0,1,0
1,0,1,741,45.2,17.8,198.0,3950.0,0,8.88942,-24.49433,0,1,0
2,1,1,744,46.5,13.5,210.0,4550.0,0,7.9953,-25.32829,1,0,0
3,0,1,10,45.2,16.6,191.0,3250.0,0,9.62357,-24.78984,0,1,0
4,1,1,13,48.4,14.4,203.0,4625.0,0,8.16582,-26.13971,1,0,0
5,1,1,22,48.1,15.1,209.0,5500.0,1,8.45738,-26.22664,1,0,0
6,1,1,13,51.1,16.5,225.0,5250.0,1,8.2066,-26.36863,1,0,0
7,1,0,392,42.7,13.7,208.0,3950.0,0,8.14567,-26.59467,1,0,0
8,2,1,14,39.6,20.7,191.0,3900.0,0,8.80967,-26.78958,1,0,0
9,1,1,735,46.1,13.2,211.0,4500.0,0,7.993,-25.5139,1,0,0
10,1,1,6,47.5,15.0,218.0,4950.0,0,8.29671,-26.08547,1,0,0
11,2,1,16,37.9,18.6,193.0,2925.0,0,9.02642,-25.86482,1,0,0
12,2,1,743,36.0,18.5,186.0,3100.0,0,9.50772,-25.03492,0,1,0
13,2,1,382,35.7,18.0,202.0,3550.0,0,8.46531,-26.05621,0,1,0
14,1,1,13,49.1,14.5,212.0,4625.0,0,8.35802,-26.2766,1,0,0
15,2,1,383,41.1,18.2,192.0,4050.0,1,8.62264,-26.60023,1,0,0
16,2,1,19,38.1,16.5,198.0,3825.0,0,8.43951,-26.57563,1,0,0
17,1,1,744,47.6,14.5,215.0,5400.0,1,8.2345,-25.54456,1,0,0
18,1,1,4,51.5,16.3,230.0,5500.0,1,8.78557,-25.76147,1,0,0
19,2,1,388,42.8,18.5,195.0,4250.0,1,8.2993,-26.38986,0,0,1
20,2,1,15,40.2,20.1,200.0,3975.0,1,8.95998,-26.32601,0,1,0
21,2,1,752,35.3,18.9,187.0,3800.0,0,9.21292,-24.3613,1,0,0
22,1,0,387,50.5,15.9,225.0,5400.0,1,8.65803,-26.57585,1,0,0
24,0,0,743,50.0,19.5,196.0,3900.0,1,8.92069,-24.23592,0,1,0
25,0,1,382,46.4,17.8,191.0,3700.0,0,9.37369,-24.52896,0,1,0
26,2,1,11,43.2,19.0,197.0,4775.0,1,9.31735,-25.45171,1,0,0
27,0,1,372,54.2,20.8,201.0,4300.0,1,9.49283,-24.59996,0,1,0
28,2,1,14,36.0,17.8,195.0,3450.0,0,8.94332,-25.79189,0,1,0
29,0,1,734,46.1,18.2,178.0,3250.0,0,8.85664,-24.55644,0,1,0
30,2,1,381,40.6,18.8,193.0,3800.0,1,8.56674,-25.98843,1,0,0
31,2,1,385,39.6,17.2,196.0,3550.0,0,8.33524,-26.55351,0,0,1
32,0,1,10,50.2,18.7,198.0,3775.0,0,9.39305,-24.25255,0,1,0
33,2,1,9,41.1,18.6,189.0,3325.0,1,9.32277,-26.09989,0,0,1
35,2,1,9,35.7,17.0,189.0,3350.0,0,8.96436,-23.90309,0,0,1
36,1,1,383,50.7,15.0,223.0,5550.0,1,8.63551,-26.74249,1,0,0
37,0,1,372,46.2,17.5,187.0,3650.0,0,9.61734,-24.66188,0,1,0
38,2,1,746,39.3,20.6,190.0,3650.0,1,8.66496,-25.29805,0,0,1
39,0,1,10,50.2,18.8,202.0,3800.0,1,9.74492,-24.404,0,1,0
40,1,1,393,45.3,13.8,208.0,4200.0,0,8.65015,-26.79053,1,0,0
41,1,1,0,44.5,15.7,217.0,4875.0,0,8.04111,-26.18444,1,0,0
