epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9687,3.04346,4.60204,4.37286,0.00013,0.01515,7e-05,1e-05,2.53011,4.47628,4.15937,0.0002,0.0002,0.0002
2,42.331,2.93233,4.46289,4.14761,0.0006,0.01515,0.00055,6e-05,2.53713,4.47849,4.18319,0.000389705,0.000389705,0.000389705
3,49.6636,2.9238,4.25327,3.87323,0.0006,0.01515,0.00044,4e-05,2.54845,4.42539,4.23812,0.00055862,0.00055862,0.00055862
4,56.0775,2.92464,4.04929,3.69179,0.00032,0.01515,0.00019,2e-05,2.47322,4.22039,4.06276,0.000706745,0.000706745,0.000706745
5,63.3221,2.74627,3.8589,3.43951,0,0,0,0,2.69437,4.17713,4.32664,0.000802,0.000802,0.000802
6,69.8291,2.78262,3.70635,3.32911,0.38337,0.05741,0.03335,0.01022,2.43835,3.73391,3.27101,0.0007525,0.0007525,0.0007525
7,76.7867,2.66079,3.54698,3.18921,0.10915,0.14778,0.0604,0.02149,2.35194,3.61832,3.26056,0.000703,0.000703,0.000703
8,83.478,2.58605,3.51449,3.10595,0.51069,0.22431,0.1831,0.0722,2.08266,3.09738,2.7124,0.0006535,0.0006535,0.0006535
9,90.3489,2.54678,3.29053,3.07944,0.32381,0.4068,0.29554,0.14527,1.95138,2.56476,2.62668,0.000604,0.000604,0.000604
10,97.2508,2.4607,3.15152,2.9892,0.29656,0.30312,0.26451,0.12782,1.94011,2.50613,2.71633,0.0005545,0.0005545,0.0005545
11,105.721,1.92197,3.44947,2.57408,0.31423,0.31112,0.36623,0.19105,1.79971,2.52312,2.55944,0.000505,0.000505,0.000505
12,113.399,1.81476,3.17574,2.41151,0.22962,0.36042,0.33328,0.1873,1.71403,2.35411,2.49581,0.0004555,0.0004555,0.0004555
13,119.388,1.73227,3.00117,2.36323,0.36424,0.59056,0.45363,0.28108,1.55483,2.05069,2.22549,0.000406,0.000406,0.000406
14,126.669,1.68789,2.91253,2.31714,0.36627,0.55616,0.42008,0.27506,1.50493,2.09123,2.17426,0.0003565,0.0003565,0.0003565
15,132.532,1.61674,2.89183,2.23053,0.34291,0.58204,0.47227,0.28613,1.48893,2.00727,2.19742,0.000307,0.000307,0.000307
16,139.478,1.52916,2.70668,2.15076,0.38637,0.6767,0.5124,0.34974,1.35272,1.84568,2.07603,0.0002575,0.0002575,0.0002575
17,145.563,1.54369,2.66705,2.14803,0.42583,0.72238,0.49341,0.33013,1.33538,1.81669,2.04724,0.000208,0.000208,0.000208
18,152.627,1.45854,2.60552,2.07547,0.41131,0.63367,0.51004,0.35859,1.27792,1.78341,1.96262,0.0001585,0.0001585,0.0001585
19,158.659,1.42613,2.59033,2.03225,0.46685,0.59021,0.52661,0.35841,1.26851,1.7553,1.94495,0.000109,0.000109,0.000109
20,165.566,1.42164,2.56464,2.03348,0.46549,0.61128,0.52282,0.36868,1.20168,1.69314,1.91589,5.95e-05,5.95e-05,5.95e-05
